vessel,carrier,voyage No.,service,POD,ETA,Berthing,Updatetime
 BAL BOAN,CMA, J48, JRX,NGO, 2021/07/28　AM, 2021/07/28　AM,2021/7/22 19:27
 TRIESTE TRADER,CMA, 126N, IA88,NGO, 2021/07/29　09:30, 2021/07/29　10:30,2021/7/22 19:27
 YM CONSTANCY,CMA, 004N, JTS,NGO, 2021/07/27　06:50, 2021/07/27　07:50,2021/7/22 19:27
 ONE HARBOUR,CMA, -, FUJI,NGO, 2021/07/27　18:00, 2021/07/27　19:00,2021/7/22 19:27
 CAIYUNHE,CMA, 1785N, JCH,NGO, 2021/08/02, 2021/08/02,2021/7/22 19:27
 KUO LONG,CMA, 0QI98N1NC, JTX,NGO, 2021/08/03, 2021/08/03,2021/7/22 19:27
 SEVILLIA,CMA, 0CG56N1NC, JTVS,NGO, 2021/08/05, 2021/08/05,2021/7/22 19:27
 FENGYUNHE,CMA, 1787N, JCH,NGO, 2021/08/06, 2021/08/06,2021/7/22 19:27
 THORSTAR,CMA, 21006N, JMV,NGO, 2021/08/07, 2021/08/07,2021/7/22 19:27
 BAL BOAN,CMA, J49, JRX,NGO, 2021/08/08, 2021/08/08,2021/7/22 19:27
 TS OSAKA,CMA, 21008N, JHT,NGO, 2021/08/02, 2021/08/02,2021/7/22 19:27
 FEEDER 1,CMA, 127N, IA88,NGO, 2021/08/03　22:30, 2021/08/03　23:30,2021/7/22 19:27
 SPIL CITRA,CMA, 0IZ8XN1NC, JPX,NGO, 2021/08/04, 2021/08/04,2021/7/22 19:27
 CNC SATURN,CMA, 0QISGN1NC, JTX,NGO, 2021/08/05, 2021/08/05,2021/7/22 19:27
 TS BANGKOK,CMA, 21007N, JHT,NGO, 2021/08/06, 2021/08/06,2021/7/22 19:27
 YM IMPROVEMENT,CMA, 204N, JTC,NGO, 2021/08/07　07:00, 2021/08/07　08:00,2021/7/22 19:27
 ORTOLAN EPSILON,CMA, 0JK4BS1NC, JRX,NGO, 2021/08/08, 2021/08/08,2021/7/22 19:27
 YM CENTENNIAL,CMA, 014N, JTS,NGO, 2021/08/04, 2021/08/04,2021/7/22 19:27
 BELLATRIX I,CMA, 128N, IA2,NGO, 2021/08/06　14:00, 2021/08/06　15:00,2021/7/22 19:27
 NORDLION,CMA, 124N, IA88,OSA, 2021/07/12　07:34, 2021/07/12　08:08,2021/7/22 19:28
 OOCL SHANGHAI,CMA, 060N, A3N,OSA, 2021/07/13　14:26, 2021/07/13　15:17,2021/7/22 19:28
 YM IMAGE,CMA, 151N, JTC,OSA, 2021/07/14　18:01, 2021/07/14　18:39,2021/7/22 19:28
 EVER UNIFIC,CMA, 0NW90W1MA, NWX,OSA, 2021/07/17　07:03, 2021/07/17　07:50,2021/7/22 19:28
 TS KAOHSIUNG,CMA, 21006N, JHT,OSA, 2021/07/18　09:55, 2021/07/18　10:36,2021/7/22 19:28
 GUANGZHOU TRADER,CMA, 0QI92N1NC, JTX,OSA, 2021/07/19　07:24, 2021/07/19　08:05,2021/7/22 19:28
 MARCLIFF,CMA, 21015N, JTV,OSA, 2021/07/21　11:55, 2021/07/21　12:36,2021/7/22 19:28
 TS TOKYO,CMA, 21006N, JHT,OSA, 2021/07/22　12:54, 2021/07/22　13:24,2021/7/22 19:28
 OPTIMA,CMA, 21014N, JTV,OSA, 2021/07/23　07:40, 2021/07/23　08:40,2021/7/22 19:28
 ULTIMA,CMA, 21024N, JTV,OSA, 2021/07/25, 2021/07/25,2021/7/22 19:28
 CMA CGM CHOPIN,CMA, 117N, A3N,OSA, 2021/07/19　12:00, 2021/07/19　12:47,2021/7/22 19:28
 EVER SUMMIT,CMA, 0NW96W1MA, NWX,OSA, 2021/07/23　16:00, 2021/07/23　17:00,2021/7/22 19:28
 YM INTERACTION,CMA, 217N, JTC,OSA, 2021/07/25　07:00, 2021/07/25　08:00,2021/7/22 19:28
 KUO LIN,CMA, 0QI94N1NC, JTX,OSA, 2021/07/25　12:00, 2021/07/25　13:00,2021/7/22 19:28
 MARCLIFF,CMA, 21016N, JTV,OSA, 2021/07/26, 2021/07/26,2021/7/22 19:28
 YM CONTINENT,CMA, 021N, JMV,OSA, 2021/07/27　07:00, 2021/07/27　08:00,2021/7/22 19:28
 CNC BANGKOK,CMA, 0QI96N1NC, JTX,OSA, 2021/07/28, 2021/07/28,2021/7/22 19:28
 TS OSAKA,CMA, 21008N, JHT,OSA, 2021/07/31, 2021/07/31,2021/7/22 19:28
 E.R. DENMARK,CMA, 117N, A3N,OSA, 2021/08/01, 2021/08/01,2021/7/22 19:28
 TRIESTE TRADER,CMA, 126N, IA88,OSA, 2021/07/26　07:30, 2021/07/26　08:30,2021/7/22 19:28
 FEEDER 1,CMA, 127N, IA88,OSA, 2021/07/31　19:30, 2021/07/31　20:30,2021/7/22 19:28
 YM INAUGURATION,CMA, 255N, JTC,OSA, 2021/08/01　07:00, 2021/08/01　08:00,2021/7/22 19:28
 OPTIMA,CMA, 21015N, JTV,OSA, 2021/08/02, 2021/08/02,2021/7/22 19:28
 KUO LONG,CMA, 0QI98N1NC, JTX,OSA, 2021/08/04, 2021/08/04,2021/7/22 19:28
 THORSTAR,CMA, 21006N, JMV,OSA, 2021/08/05, 2021/08/05,2021/7/22 19:28
 CNC SATURN,CMA, 0QISGN1NC, JTX,OSA, 2021/08/06, 2021/08/06,2021/7/22 19:28
 KMTC YOKOHAMA,CMA, 2107N, JMV,OSA, 2021/08/07, 2021/08/07,2021/7/22 19:28
 TS BANGKOK,CMA, 21007N, JHT,OSA, 2021/08/04, 2021/08/04,2021/7/22 19:28
 NORDMAAS,CMA, 129N, IA88,OSA, 2021/08/07　19:30, 2021/08/07　20:30,2021/7/22 19:28
 EVER SMART,CMA, 0NW98W1MA, NWX,OSA, 2021/08/08, 2021/08/08,2021/7/22 19:28
 APL SCOTLAND,CMA, 073N, A3N,OSA, 2021/08/04, 2021/08/04,2021/7/22 19:28
 YM IMPROVEMENT,CMA, 204N, JTC,OSA, 2021/08/08　07:00, 2021/08/08　08:00,2021/7/22 19:28
 TS BANGKOK,CMA, 21006N, JHT,OBE, 2021/07/12　06:30, 2021/07/12　07:14,2021/7/22 19:28
 MERATUS JAYAGIRI,CMA, 124N, IA2,OBE, 2021/07/14　07:45, 2021/07/14　08:45,2021/7/22 19:28
 YM IMAGE,CMA, 151N, JTC,OBE, 2021/07/15　06:35, 2021/07/15　07:15,2021/7/22 19:28
 TS KAOHSIUNG,CMA, 21006N, JHT,OBE, 2021/07/18　17:50, 2021/07/18　18:33,2021/7/22 19:29
 NORDLION,CMA, 124N, IA88,OBE, 2021/07/12　15:45, 2021/07/12　16:30,2021/7/22 19:29
 ORTOLAN EPSILON,CMA, 0JK43S1NC, JRX,OBE, 2021/07/14　20:55, 2021/07/14　21:48,2021/7/22 19:29
 TR ARAMIS,CMA, 0IZ8RN1NC, JPX,OBE, 2021/07/15　15:45, 2021/07/15　16:45,2021/7/22 19:29
 ONE HUMBER,CMA, -, FUJI,OBE, 2021/07/12　19:10, 2021/07/12　20:17,2021/7/22 19:29
 GREEN WAVE,CMA, 011N, JVH,OBE, 2021/07/20　06:45, 2021/07/20　07:34,2021/7/22 19:29
 MARCLIFF,CMA, 21015N, JTV,OBE, 2021/07/21　18:00, 2021/07/21　18:58,2021/7/22 19:29
 TS TOKYO,CMA, 21006N, JHT,OBE, 2021/07/22　20:50, 2021/07/22　21:50,2021/7/22 19:29
 TR PORTHOS,CMA, 0IZSJN1NC, JPX,OBE, 2021/07/23　09:30, 2021/07/23　10:30,2021/7/22 19:29
 ONE HARBOUR,CMA, -, FUJI,OBE, 2021/07/25　14:50, 2021/07/25　15:50,2021/7/22 19:29
 GUANGZHOU TRADER,CMA, 0QI92N1NC, JTX,OBE, 2021/07/19　15:50, 2021/07/19　16:40,2021/7/22 19:29
 NYK VENUS,CMA, 068W, FUJI,OBE, 2021/07/23　10:45, 2021/07/23　11:45,2021/7/22 19:29
 BF PERCH,CMA, 0IV8AS1NC, CHX,OBE, 2021/07/24　06:50, 2021/07/24　07:50,2021/7/22 19:29
 BF TROUT,CMA, 0IV8BN1NC, CHX,OBE, 2021/07/25　16:20, 2021/07/25　17:20,2021/7/22 19:29
 OPTIMA,CMA, 21014N, JTV,OBE, 2021/07/23　18:50, 2021/07/23　19:50,2021/7/22 19:29
 KUO LIN,CMA, 0QI94N1NC, JTX,OBE, 2021/07/24　07:00, 2021/07/24　08:00,2021/7/22 19:29
 YM INTERACTION,CMA, 217N, JTC,OBE, 2021/07/25　AM, 2021/07/25　AM,2021/7/22 19:29
 BUXFAVOURITE,CMA, 126N, IA2,OBE, 2021/07/24　07:50, 2021/07/24　08:50,2021/7/22 19:29
 NORDAMSTEL,CMA, 006N, JVH,OBE, 2021/07/24　08:45, 2021/07/24　09:45,2021/7/22 19:29
 ULTIMA,CMA, 21024N, JTV,OBE, 2021/07/26　07:00, 2021/07/26　08:00,2021/7/22 19:29
 MARCLIFF,CMA, 21016N, JTV,OBE, 2021/07/27, 2021/07/27,2021/7/22 19:29
 ORTOLAN EPSILON,CMA, 0JK47S1NC, JRX,OBE, 2021/07/28, 2021/07/28,2021/7/22 19:29
 VLADIVOSTOK,CMA, 127N, IA2,OBE, 2021/07/29　10:30, 2021/07/29　11:30,2021/7/22 19:29
 TS OSAKA,CMA, 21008N, JHT,OBE, 2021/08/01, 2021/08/01,2021/7/22 19:29
 TRIESTE TRADER,CMA, 126N, IA88,OBE, 2021/07/27　06:01, 2021/07/27　07:01,2021/7/22 19:29
 CNC BANGKOK,CMA, 0QI96N1NC, JTX,OBE, 2021/07/28, 2021/07/28,2021/7/22 19:29
 GH TRAMONTANE,CMA, 0IZ8VN1MA, JPX,OBE, 2021/07/29　14:30, 2021/07/29　15:30,2021/7/22 19:29
 ONE HANNOVER,CMA, -, FUJI,OBE, 2021/07/31　11:30, 2021/07/31　12:30,2021/7/22 19:29
 YM INAUGURATION,CMA, 255N, JTC,OBE, 2021/08/01　16:00, 2021/08/01　17:00,2021/7/22 19:29
 YM CONTINENT,CMA, 021N, JMV,OBE, 2021/07/28　08:00, 2021/07/28　09:00,2021/7/22 19:29
 BAL BOAN,CMA, J48, JRX,OBE, 2021/07/29　AM, 2021/07/29　AM,2021/7/22 19:29
 PENANG BRIDGE,CMA, 042N, JVH,OBE, 2021/08/01　17:00, 2021/08/01　18:00,2021/7/22 19:29
 ONE HANOI,CMA, 040W, FUJI,OBE, 2021/07/28　19:00, 2021/07/28　20:00,2021/7/22 19:29
 FEEDER 1,CMA, 127N, IA88,OBE, 2021/08/01　19:00, 2021/08/01　20:00,2021/7/22 19:29
 MERATUS JIMBARAN,CMA, 128A, IA2,OBE, 2021/08/02　18:30, 2021/08/02　19:30,2021/7/22 19:29
 KUO LONG,CMA, 0QI98N1NC, JTX,OBE, 2021/08/05, 2021/08/05,2021/7/22 19:30
 THORSTAR,CMA, 21006N, JMV,OBE, 2021/08/06, 2021/08/06,2021/7/22 19:30
 BF PERCH,CMA, 0IV8FN1NC, CHX,OBE, 2021/08/07, 2021/08/07,2021/7/22 19:30
 KMTC YOKOHAMA,CMA, 2107N, JMV,OBE, 2021/08/08, 2021/08/08,2021/7/22 19:30
 OPTIMA,CMA, 21015N, JTV,OBE, 2021/08/03, 2021/08/03,2021/7/22 19:30
 TS BANGKOK,CMA, 21007N, JHT,OBE, 2021/08/05, 2021/08/05,2021/7/22 19:30
 CNC SATURN,CMA, 0QISGN1NC, JTX,OBE, 2021/08/06, 2021/08/06,2021/7/22 19:30
 ONE HAMMERSMITH,CMA, 072W, FUJI,OBE, 2021/08/07　15:00, 2021/08/07　16:00,2021/7/22 19:30
 NYK VEGA,CMA, -, FUJI,OBE, 2021/08/08　07:00, 2021/08/08　08:00,2021/7/22 19:30
 SPIL CITRA,CMA, 0IZ8XN1NC, JPX,OBE, 2021/08/05, 2021/08/05,2021/7/22 19:30
 BELLATRIX I,CMA, 128N, IA2,OBE, 2021/08/07　18:30, 2021/08/07　19:30,2021/7/22 19:30
 YM IMPROVEMENT,CMA, 204N, JTC,OBE, 2021/08/08　16:00, 2021/08/08　17:00,2021/7/22 19:30
 NORDMAAS,CMA, 129N, IA88,OBE, 2021/08/08　19:00, 2021/08/08　20:00,2021/7/22 19:30
